Date,Capacity Gas (MW),Capacity Coal (MW),Capacity Oil (MW),Capacity Renewables (MW),Capacity Others (MW)
2017-01-01,2033.0,0,2.5,760.4,0
2017-02-01,2033.0,0,2.5,840.4,0
2017-03-01,2033.0,0,2.5,793.0,0
2017-04-01,2925.5,0,2.5,793.0,0
2017-05-01,2925.5,0,2.5,774.9,0
2017-06-01,3019.4,0,2.5,774.9,0
2017-07-01,3019.4,0,2.8000000000000003,774.9,0
2017-08-01,3019.4,0,0.30000000000000004,774.9,0
2017-09-01,3019.4,0,0.30000000000000004,774.9,0
2017-10-01,3019.4,0,0.30000000000000004,774.9,0
2017-11-01,3019.4,0,0.30000000000000004,772.9,0
2017-12-01,3019.4,0,0.0,784.9,0
2018-01-01,3019.4,0,0.0,804.9,0
2018-02-01,3019.4,0,0.0,808.3999999999999,0
2018-03-01,3019.4,0,0.0,804.4,0
2018-04-01,3150.0,0,0.0,804.4,0
2018-05-01,2248.0,0,0.0,802.4,0
2018-06-01,2248.0,0,1.5,830.7999999999998,0
2018-07-01,2248.0,0,1.5,881.1999999999999,0
2018-08-01,2248.0,0,1.5,797.9000000000001,0
2018-09-01,2248.0,0,1.5,796.4,0
2018-10-01,2248.0,0,1.5,796.4,0
2018-11-01,2248.0,0,1.5,776.5,0
2018-12-01,2248.0,0,1.5,887.1,0
2019-01-01,2248.0,0,1.5,1012.2999999999998,316.0
2019-02-01,2297.5,0,1.5,1059.7,316.0
2019-03-01,2297.5,0,1.5,1058.0,316.0
2019-04-01,2297.5,0,1.5,1058.0,316.0
2019-05-01,2297.5,0,1.5,1075.0,316.0
2019-06-01,2297.5,0,1.5,1312.7,318.0
2019-07-01,2297.5,0,1.5,1310.8999999999999,318.0
2019-08-01,2297.5,0,1.5,1962.6,318.0
2019-09-01,2297.5,0,1.5,2128.1000000000004,318.0
2019-10-01,2297.5,0,1.5,2151.8,338.0
2019-11-01,2297.5,0,1.5,2169.7999999999997,338.0
2019-12-01,2297.5,0,1.5,2123.8,339.6
2020-01-01,2297.5,0,1.5,2116.8,339.6
2020-02-01,1405.0,0,1.5,2021.1,542.6
2020-03-01,1413.3999999999999,0,1.5,2018.1,542.6
2020-04-01,100.9,0,1.5,1876.6,542.6
2020-05-01,100.9,0,1.5,1900.1000000000004,542.6
2020-06-01,100.9,0,1.5,2096.1000000000004,546.1
2020-07-01,100.9,0,1.5,2111.1000000000004,546.1
2020-08-01,100.9,0,1.5,2111.1,546.1
2020-09-01,100.9,0,1.5,2151.1000000000004,546.1
2020-10-01,100.9,0,1.5,2651.8,543.1
2020-11-01,531.9,0,1.5,2824.0,1293.1
2020-12-01,531.9,0,0.0,2786.2,1288.0
2021-01-01,534.5,0,2.5,2806.2,1593.0
2021-02-01,534.5,0,2.5,2812.4,1593.7
2021-03-01,534.5,0,2.5,2985.5,1593.7
2021-04-01,534.5,0,2.5,2975.5,1605.7
2021-05-01,534.5,0,2.5,2987.5,1625.7
2021-06-01,539.5,0,2.5,2973.1,1626.5
2021-07-01,539.5,0,2.5,2852.1,1626.5
2021-08-01,539.5,0,2.5,2853.1,1626.5
2021-09-01,539.5,0,2.5,3613.5999999999995,1653.7
2021-10-01,539.5,0,2.5,3603.2,1644.6999999999998
2021-11-01,539.5,0,2.5,3611.8,1654.2
2021-12-01,531.1,0,2.5,3429.5,1646.6999999999998
2022-01-01,438.6,0,2.5,3453.1000000000004,1333.7
2022-02-01,438.6,0,2.5,3895.7999999999997,1333.7
2022-03-01,438.6,0,2.5,4023.7999999999997,1333.7
2022-04-01,438.6,0,2.5,4069.6999999999994,1330.7
2022-05-01,438.6,0,2.5,4069.7,1330.7
2022-06-01,438.6,0,2.5,4039.5,1330.7
2022-07-01,438.6,0,2.5,4105.0,1360.7
2022-08-01,433.6,0,2.5,4265.099999999999,1360.7
2022-09-01,433.6,0,2.5,4260.499999999999,1360.7
2022-10-01,2.6,0,2.5,4224.9,1336.0
2022-11-01,2.6,0,2.5,4220.9,1335.3
2022-12-01,2.6,0,2.5,4191.199999999999,1335.3
2023-01-01,2.6,0,2.5,4308.9,1335.3
2023-02-01,2.6,0,2.5,4098.3,1335.3
2023-03-01,2.6,0,2.5,4115.4,1335.3000000000002
