Year;Month;Capacity Gas (MW);Capacity Coal (MW);Capacity Oil (MW);Sum (MW)
2017;January;2033;0;2.5;2035.5
;February;2033;0;2.5;2035.5
;March;2033;0;2.5;2035.5
;April;2925.5;0;2.5;2928
;May;2925.5;0;2.5;2928
;June;3019.4;0;2.5;3021.9
;July;3019.4;0;2.8;3022.2
;August;3019.4;0;0.3;3019.7
;September;3019.4;0;0.3;3019.7
;October;3019.4;0;0.3;3019.7
;November;3019.4;0;0.3;3019.7
;December;3019.4;0;0;3019.4
2018;January;3019.4;0;0;3019.4
;February;3019.4;0;0;3019.4
;March;3019.4;0;0;3019.4
;April;3150;0;0;3150
;May;2248;0;0;2248
;June;2248;0;1.5;2249.5
;July;2248;0;1.5;2249.5
;August;2248;0;1.5;2249.5
;September;2248;0;1.5;2249.5
;October;2248;0;1.5;2249.5
;November;2248;0;1.5;2249.5
;December;2248;0;1.5;2249.5
2019;January;2248;0;1.5;2249.5
;February;2297.5;0;1.5;2299
;March;2297.5;0;1.5;2299
;April;2297.5;0;1.5;2299
;May;2297.5;0;1.5;2299
;June;2297.5;0;1.5;2299
;July;2297.5;0;1.5;2299
;August;2297.5;0;1.5;2299
;September;2297.5;0;1.5;2299
;October;2297.5;0;1.5;2299
;November;2297.5;0;1.5;2299
;December;2297.5;0;1.5;2299
2020;January;2297.5;0;1.5;2299
;February;1405;0;1.5;1406.5
;March;1413.4;0;1.5;1414.9
;April;100.9;0;1.5;102.4
;May;100.9;0;1.5;102.4
;June;100.9;0;1.5;102.4
;July;100.9;0;1.5;102.4
;August;100.9;0;1.5;102.4
;September;100.9;0;1.5;102.4
;October;100.9;0;1.5;102.4
;November;531.9;0;1.5;533.4
;December;531.9;0;0;531.9
2021;January;534.5;0;2.5;537
;February;534.5;0;2.5;537
;March;534.5;0;2.5;537
;April;534.5;0;2.5;537
;May;534.5;0;2.5;537
;June;539.5;0;2.5;542
;July;539.5;0;2.5;542
;August;539.5;0;2.5;542
;September;539.5;0;2.5;542
;October;539.5;0;2.5;542
;November;539.5;0;2.5;542
;December;531.1;0;2.5;533.6
2022;January;438.6;0;2.5;441.1
;February;438.6;0;2.5;441.1
;March;438.6;0;2.5;441.1
;April;438.6;0;2.5;441.1
;May;438.6;0;2.5;441.1
;June;438.6;0;2.5;441.1
;July;438.6;0;2.5;441.1
;August;433.6;0;2.5;436.1
;September;433.6;0;2.5;436.1
;October;2.6;0;2.5;5.1
;November;2.6;0;2.5;5.1
;December;2.6;0;2.5;5.1
2023;January;2.6;0;2.5;5.1
;February;2.6;0;2.5;5.1
;March;2.6;0;2.5;5.1
