Date,Capacity Gas (MW),Capacity Coal (MW),Capacity Oil (MW),Capacity Renewables (MW),Capacity Others (MW)
2004-01-01,17021.300000000003,4246.3,8225.1,6375.900000000001,5611.200000000001
2005-01-01,19196.7,4278.799999999999,8209.2,6515.3,5611.200000000001
2006-01-01,19512.199999999997,4314.0,8240.2,6711.499999999999,5611.200000000001
2007-01-01,19512.2,4314.0,8240.199999999999,6785.7,5708.1
2008-01-01,19605.199999999997,4258.0,8240.2,7123.499999999999,5708.1
2009-01-01,18875.600000000002,2950.3,7906.6,7663.5,5708.1
2010-01-01,19397.7,2950.3,7024.700000000001,7678.7,5790.5
2011-01-01,21421.0,2950.3,5709.400000000001,7839.599999999999,5736.1
2012-01-01,21053.4,2865.3,5676.3,8087.299999999999,5736.1
2013-01-01,21167.7,2633.7,5545.9,8299.3,5728.1
2014-01-01,22436.200000000004,2633.7,4380.8,8328.0,5728.1
2015-01-01,23325.6,2249.7,3838.7,8397.3,5728.1
2016-01-01,23357.0,1849.6999999999996,3882.1,8438.5,5728.1
