Date,Forecast (MW)
2006-04-01,19569
2006-05-01,22355
2006-06-01,26453
2006-07-01,29130
2006-08-01,30059
2006-09-01,24882
2006-10-01,20707
2006-11-01,21812
2006-12-01,23250
2007-01-01,23307
2007-02-01,24350
2007-03-01,21845
2007-04-01,20123
2007-05-01,20948
2007-06-01,27394
2007-07-01,28140
2007-08-01,28364
2007-09-01,23385
2007-10-01,20571
2007-11-01,21820
2007-12-01,24123
2008-01-01,23254
2008-02-01,23068
2008-03-01,21509
2008-04-01,19619
2008-05-01,20181
2008-06-01,26909
2008-07-01,29340
2008-08-01,30724
2008-09-01,26268
2008-10-01,20362
2008-11-01,22134
2008-12-01,24207
2009-01-01,24587
2009-02-01,22810
2009-03-01,21292
2009-04-01,19106
2009-05-01,19829
2009-06-01,25356
2009-07-01,26519
2009-08-01,27268
2009-09-01,23010
2009-10-01,19978
2009-11-01,20969
2009-12-01,23100
2010-01-01,23089
2010-02-01,22330
2010-03-01,20953
2010-04-01,18661
2010-05-01,22690
2010-06-01,27081
2010-07-01,30073
2010-08-01,28567
2010-09-01,27017
2010-10-01,19635
2010-11-01,20832
2010-12-01,23443
2011-01-01,23217
2011-02-01,22979
2011-03-01,20940
2011-04-01,18993
2011-05-01,21538
2011-06-01,28295
2011-07-01,30281
2011-08-01,29283
2011-09-01,23621
2011-10-01,20218
2011-11-01,20865
2011-12-01,22187
2012-01-01,22509
2012-02-01,21772
2012-03-01,20716
2012-04-01,18956
2012-05-01,24133
2012-06-01,27888
2012-07-01,31690
2012-08-01,26975
2012-09-01,25409
2012-10-01,19811
2012-12-01,22190
2013-01-01,22391
2013-02-01,22087
2013-03-01,21451
2013-04-01,19410
2013-05-01,22926
2013-06-01,28010
2013-07-01,32068
2013-08-01,28357
2013-09-01,26550
2013-10-01,20341
2013-11-01,21762
2013-12-01,23691
2014-01-01,24382
2014-02-01,23414
2014-03-01,22453
2014-04-01,19077
2014-05-01,21548
2014-06-01,27177
2014-07-01,29836
2014-08-01,25683
2014-09-01,25093
2014-10-01,19417
2014-11-01,21753
2014-12-01,22340
2015-01-01,23205
2015-02-01,25702
2015-03-01,21548
2015-04-01,18714
2015-05-01,24845
2015-06-01,26181
2015-07-01,29703
2015-08-01,28910
2015-09-01,28907
2015-10-01,19176
2015-11-01,20398
2015-12-01,21410
2016-01-01,22094
2016-02-01,21548
2016-03-01,20027
2016-04-01,18720
2016-05-01,22335
2016-06-01,27196
2016-07-01,30036
2016-08-01,29970
2016-09-01,29260
2016-10-01,19035
2016-11-01,20410
2016-12-01,22794
2017-01-01,22148
2017-02-01,21407
2017-03-01,19956
2017-04-01,18695
2017-05-01,21877
2017-06-01,28589
2017-07-01,28815
2017-08-01,28097
2017-09-01,23103
2017-10-01,20471
2017-11-01,21058
2017-12-01,22448
2018-01-01,22988
2018-02-01,21706
2018-03-01,19416
2018-04-01,18431
2018-05-01,21902
2018-06-01,27519
2018-07-01,30684
2018-08-01,30544
2018-09-01,28533
2018-10-01,20891
2018-11-01,20816
2018-12-01,21734
2019-01-01,23452
2019-02-01,22569
2019-03-01,21525
2019-04-01,17841
2019-05-01,21532
2019-06-01,25866
2019-07-01,29901
2019-08-01,28349
2019-09-01,24541
2019-10-01,22227
2019-11-01,20631
2019-12-01,21733
2020-01-01,20988
2020-07-01,28713
2020-08-01,28049
2020-09-01,25094
2020-10-01,17762
2020-11-01,19243
2020-12-01,20446
2021-01-01,20593
2021-02-01,21690
2021-03-01,19013
2021-04-01,17205
2021-05-01,20879
2021-06-01,27204
2021-07-01,28587
2021-08-01,29937
2021-09-01,23679
2021-10-01,19208
2021-11-01,20101
2021-12-01,20391
2022-01-01,22197
2022-02-01,21277
2022-03-01,20443
2022-04-01,17158
2022-05-01,22224
2022-06-01,24269
2022-07-01,28760
2022-08-01,30782
2022-09-01,24294
2022-10-01,17634
2022-11-01,20240
2022-12-01,21107
2023-01-01,20289
2023-02-01,20910
2023-03-01,18973
2023-04-01,16635
2023-05-01,20402
2023-06-01,23361
