Date,Load (MW)
2006-02-01,6898.4
2006-05-01,8977.3
2006-06-01,9826.7
2006-07-01,11057.7
2006-08-01,11346.5
2006-09-01,8467.7
2006-10-01,7849.3
2006-11-01,7285.6
2006-12-01,7470.0
2007-01-01,7464.5
2007-02-01,7679.7
2007-03-01,7517.4
2007-04-01,7139.7
2007-05-01,9034.1
2007-06-01,10550.3
2007-07-01,10761.7
2007-08-01,10970.8
2007-09-01,9657.1
2007-10-01,8866.6
2007-11-01,7170.1
2007-12-01,7663.4
2008-01-01,7761.4
2008-02-01,7522.9
2008-03-01,6938.3
2008-04-01,7080.1
2008-05-01,8230.4
2008-06-01,11261.6
2008-07-01,10518.7
2008-08-01,9789.0
2008-09-01,9974.2
2008-10-01,7530.2
2008-11-01,7275.3
2008-12-01,7692.1
2009-01-01,7666.6
2009-02-01,7483.2
2009-03-01,7374.9
2009-04-01,8339.6
2009-05-01,7706.1
2009-06-01,8798.2
2009-07-01,9808.6
2009-08-01,10660.8
2009-09-01,8593.0
2009-10-01,6927.1
2009-11-01,7083.0
2009-12-01,7561.7
2010-01-01,7612.5
2010-02-01,7351.1
2010-03-01,6993.4
2010-04-01,7598.4
2010-05-01,9350.2
2010-06-01,11071.1
2010-07-01,11213.2
2010-08-01,10651.3
2010-09-01,10840.3
2010-10-01,7582.3
2010-11-01,7025.0
2010-12-01,7661.1
2011-01-01,7624.2
2011-02-01,7432.5
2011-03-01,6936.3
2011-04-01,7108.2
2011-05-01,9342.3
2011-06-01,11111.2
2011-07-01,11423.7
2011-08-01,10433.5
2011-09-01,9223.2
2011-10-01,7370.6
2011-11-01,7006.8
2011-12-01,7136.3
2012-01-01,7417.1
2012-02-01,6960.1
2012-03-01,6818.9
2012-04-01,7531.5
2012-05-01,9887.9
2012-06-01,10685.4
2012-07-01,11111.5
2012-08-01,9354.7
2012-09-01,9952.4
2012-10-01,7672.3
2012-12-01,6985.7
2013-02-01,7040.0
2013-03-01,6898.7
2013-04-01,6519.3
2013-05-01,9444.1
2013-06-01,10227.9
2013-07-01,11456.0
2013-08-01,9230.9
2013-09-01,10610.9
2013-10-01,8320.8
2013-11-01,7124.5
2013-12-01,7494.9
2014-01-01,7895.5
2014-02-01,7299.9
2014-03-01,7243.4
2014-04-01,6526.8
2014-05-01,8165.6
2014-06-01,9665.1
2014-07-01,10144.6
2014-08-01,9408.0
2014-09-01,10572.0
2014-10-01,7411.7
2014-11-01,7131.6
2014-12-01,7250.1
2015-01-01,7632.3
2015-02-01,7576.9
2015-03-01,7173.3
2015-04-01,6413.0
2015-05-01,8540.6
2015-06-01,10258.0
2015-07-01,10585.6
2015-08-01,10161.5
2015-09-01,10411.7
2015-10-01,7047.2
2015-11-01,6970.9
2015-12-01,6828.7
2016-01-01,7361.7
2016-02-01,7247.9
2016-03-01,6737.3
2016-04-01,6817.2
2016-05-01,8767.2
2016-06-01,8870.7
2016-07-01,10565.6
2016-08-01,10989.9
2016-09-01,10377.2
2016-10-01,7865.6
2016-11-01,6803.7
2016-12-01,7483.0
2017-01-01,7506.4
2017-02-01,6965.6
2017-03-01,7028.8
2017-04-01,6780.6
2017-05-01,9485.8
2017-06-01,10597.0
2017-07-01,10670.7
2017-08-01,10194.3
2017-09-01,9449.7
2017-10-01,8086.6
2017-11-01,6660.1
2017-12-01,7499.3
2018-01-01,7822.0
2018-02-01,7112.1
2018-03-01,6845.9
2018-04-01,6480.5
2018-05-01,8203.0
2018-06-01,9838.7
2018-07-01,10577.9
2018-08-01,10889.6
2018-09-01,11069.7
2018-10-01,8075.6
2018-11-01,6880.9
2018-12-01,6954.3
2019-01-01,7755.6
2019-02-01,7528.6
2019-03-01,7093.8
2019-04-01,6201.8
2019-05-01,7781.8
2019-06-01,9357.5
2019-07-01,10802.3
2019-08-01,9963.4
2019-09-01,9142.7
2019-10-01,9194.4
2019-11-01,6821.3
2019-12-01,7397.9
2020-01-01,6486.5
2020-07-01,10149.6655
2020-08-01,9557.4446
2020-09-01,8065.8336
2020-10-01,5920.6291
2020-11-01,6264.3945
2020-12-01,6688.5703
2021-01-01,6852.5998
2021-02-01,6591.172
2021-03-01,6344.1339
2021-04-01,5663.3886
2021-05-01,7593.1792
2021-06-01,10351.6505
2021-07-01,9772.4613
2021-08-01,10074.0422
2021-09-01,8934.0833
2021-10-01,6882.2647
2021-11-01,6409.7029
2021-12-01,6426.3499
2022-01-01,7116.2775
2022-02-01,6852.8976
2022-03-01,6318.9071
2022-04-01,6144.0321
2022-05-01,9090.5107
2022-06-01,8302.0028
2022-07-01,10041.4673
2022-08-01,10830.2864
2022-09-01,8491.6468
2022-10-01,6174.1608
2022-11-01,6391.0878
2022-12-01,6682.8574
2023-01-01,6421.2804
2023-02-01,7070.1081
2023-03-01,6352.4402
2023-04-01,5640.5895
2023-05-01,6846.4006
2023-06-01,7455.9264
