Year,Month,Capacity Gas (MW),Capacity Coal (MW),Capacity Oil (MW)
2017,January,24444.9,1206.5,3832.8
2017,February,24265.9,1318.4999999999998,3700.0
2017,March,24379.699999999997,1110.5,3700.0
2017,April,24387.399999999998,1110.5,3710.7
2017,May,24409.0,1110.5,3689.1000000000004
2017,June,24406.8,1098.0,3689.1000000000004
2017,July,24406.9,1098.0,3690.7
2017,August,24408.3,1098.0,3734.6
2017,September,24408.3,1098.0,3734.6
2017,October,24408.3,1098.0,3734.6
2017,November,24408.3,1098.0,3743.6
2017,December,24409.199999999997,1098.0,3748.9
2018,January,24409.199999999997,1098.0,3748.9
2018,February,24377.199999999997,1098.0,3748.9
2018,March,24377.199999999997,1098.0,3748.9
2018,April,24377.199999999997,1098.0,3748.9
2018,May,25231.5,1098.0,3748.9
2018,June,25239.2,1098.0,3765.5
2018,July,24995.2,1098.0,3765.5
2018,August,24995.2,1098.0,3765.5
2018,September,24995.2,1098.0,3765.5
2018,October,24995.2,1098.0,3768.0
2018,November,24995.2,1098.0,3786.5
2018,December,25002.2,1098.0,3806.3999999999996
2019,January,25249.0,930.8000000000002,3845.9
2019,February,25252.699999999997,930.8000000000002,3845.9
2019,March,25255.1,930.8000000000002,3848.4999999999995
2019,April,25255.1,930.8000000000002,3849.5
2019,May,25266.0,930.8000000000002,3849.5
2019,June,25164.6,930.8000000000002,3849.5
2019,July,25168.2,930.8000000000002,3849.5
2019,August,25168.2,930.8000000000002,3849.5
2019,September,25168.2,930.8000000000002,3849.5
2019,October,25181.0,930.8000000000002,3849.5
2019,November,25181.0,930.8000000000002,3849.5
2019,December,25178.0,930.8000000000002,3852.5
2020,January,24878.2,930.8000000000002,3848.7000000000003
2020,February,24878.2,775.5000000000001,3873.0
2020,March,24900.200000000004,120.4,3857.2
2020,April,26495.6,120.4,3856.3999999999996
2020,May,26253.300000000003,120.4,3856.3999999999996
2020,June,26253.300000000003,120.4,3856.3999999999996
2020,July,26253.300000000003,120.4,3856.3999999999996
2020,August,26253.300000000003,120.4,3857.6000000000004
2020,September,26253.300000000003,120.4,3857.6000000000004
2020,October,26253.300000000003,120.4,3857.6000000000004
2020,November,26375.7,0.0,3857.6000000000004
2020,December,26381.7,0.0,3812.2
2021,January,26356.7,0.0,3828.0
2021,February,26356.7,0.0,3828.0
2021,March,26327.3,0.0,3855.5
2021,April,26321.3,0.0,3855.5
2021,May,26321.3,0.0,3850.3999999999996
2021,June,26334.8,0.0,3850.3999999999996
2021,July,26334.5,0.0,3850.3999999999996
2021,August,26330.3,0.0,3850.3999999999996
2021,September,26330.3,0.0,3850.3999999999996
2021,October,26330.3,0.0,3850.3999999999996
2021,November,26330.3,0.0,3850.3999999999996
2021,December,26305.0,0.0,3850.3999999999996
2022,January,26305.3,0.0,3868.3999999999996
2022,February,26305.3,0.0,3922.9999999999995
2022,March,26316.8,0.0,3922.7
2022,April,26314.8,0.0,3921.4999999999995
2022,May,26314.5,0.0,3921.4999999999995
2022,June,26314.5,0.0,3921.4999999999995
2022,July,26320.0,0.0,3841.0
2022,August,26325.0,0.0,3841.0
2022,September,26325.0,0.0,3841.0
2022,October,26325.0,0.0,3841.0
2022,November,26325.0,0.0,3808.4000000000005
2022,December,26325.0,0.0,3808.4000000000005
2023,January,26330.199999999997,0.0,3809.0
2023,February,26285.000000000004,0.0,3808.6
2023,March,26295.000000000004,0.0,3808.8
