Year,Month,Capacity Gas (MW),Capacity Coal (MW),Capacity Oil (MW)
2017,January,2033.0,0,2.5
2017,February,2033.0,0,2.5
2017,March,2033.0,0,2.5
2017,April,2925.5,0,2.5
2017,May,2925.5,0,2.5
2017,June,3019.4,0,2.5
2017,July,3019.4,0,2.8000000000000003
2017,August,3019.4,0,0.30000000000000004
2017,September,3019.4,0,0.30000000000000004
2017,October,3019.4,0,0.30000000000000004
2017,November,3019.4,0,0.30000000000000004
2017,December,3019.4,0,0.0
2018,January,3019.4,0,0.0
2018,February,3019.4,0,0.0
2018,March,3019.4,0,0.0
2018,April,3150.0,0,0.0
2018,May,2248.0,0,0.0
2018,June,2248.0,0,1.5
2018,July,2248.0,0,1.5
2018,August,2248.0,0,1.5
2018,September,2248.0,0,1.5
2018,October,2248.0,0,1.5
2018,November,2248.0,0,1.5
2018,December,2248.0,0,1.5
2019,January,2248.0,0,1.5
2019,February,2297.5,0,1.5
2019,March,2297.5,0,1.5
2019,April,2297.5,0,1.5
2019,May,2297.5,0,1.5
2019,June,2297.5,0,1.5
2019,July,2297.5,0,1.5
2019,August,2297.5,0,1.5
2019,September,2297.5,0,1.5
2019,October,2297.5,0,1.5
2019,November,2297.5,0,1.5
2019,December,2297.5,0,1.5
2020,January,2297.5,0,1.5
2020,February,1405.0,0,1.5
2020,March,1413.3999999999999,0,1.5
2020,April,100.9,0,1.5
2020,May,100.9,0,1.5
2020,June,100.9,0,1.5
2020,July,100.9,0,1.5
2020,August,100.9,0,1.5
2020,September,100.9,0,1.5
2020,October,100.9,0,1.5
2020,November,531.9,0,1.5
2020,December,531.9,0,0.0
2021,January,534.5,0,2.5
2021,February,534.5,0,2.5
2021,March,534.5,0,2.5
2021,April,534.5,0,2.5
2021,May,534.5,0,2.5
2021,June,539.5,0,2.5
2021,July,539.5,0,2.5
2021,August,539.5,0,2.5
2021,September,539.5,0,2.5
2021,October,539.5,0,2.5
2021,November,539.5,0,2.5
2021,December,531.1,0,2.5
2022,January,438.6,0,2.5
2022,February,438.6,0,2.5
2022,March,438.6,0,2.5
2022,April,438.6,0,2.5
2022,May,438.6,0,2.5
2022,June,438.6,0,2.5
2022,July,438.6,0,2.5
2022,August,433.6,0,2.5
2022,September,433.6,0,2.5
2022,October,2.6,0,2.5
2022,November,2.6,0,2.5
2022,December,2.6,0,2.5
2023,January,2.6,0,2.5
2023,February,2.6,0,2.5
2023,March,2.6,0,2.5
